Logger: #E50A33 'PT1000TEMP' - USP_EXP2 - (CGI) Expander for GP5W - (V2.60, Mai 12 2013),,
No,Time,#1:oC,#HK-Bat:V
596,25.05.2015 06:00:00,19.501,3.648
597,25.05.2015 07:00:00,19.5482,
598,25.05.2015 08:00:00,19.6369,
599,25.05.2015 09:00:00,19.7231,
600,25.05.2015 10:00:00,19.8065,
601,25.05.2015 11:00:00,19.888,
602,25.05.2015 12:00:00,19.9648,3.647
603,25.05.2015 13:00:00,20.0432,
604,25.05.2015 14:00:00,20.0771,
605,25.05.2015 15:00:00,20.065,
606,25.05.2015 16:00:00,20.0174,
607,25.05.2015 17:00:00,19.9847,
608,25.05.2015 18:00:00,19.9652,3.648
609,25.05.2015 19:00:00,19.9682,
610,25.05.2015 20:00:00,19.9895,
611,25.05.2015 21:00:00,20.009,
612,25.05.2015 22:00:00,20.0226,
613,25.05.2015 23:00:00,20.0487,
614,26.05.2015 00:00:00,20.0587,3.65
615,26.05.2015 01:00:00,20.0806,
616,26.05.2015 02:00:00,20.093,
617,26.05.2015 03:00:00,20.1017,
618,26.05.2015 04:00:00,20.1007,
619,26.05.2015 05:00:00,20.0933,
620,26.05.2015 06:00:00,20.0925,3.648
621,26.05.2015 07:00:00,20.1143,
622,26.05.2015 08:00:00,20.1491,
623,26.05.2015 09:00:00,20.2125,
624,26.05.2015 10:00:00,20.2566,
625,26.05.2015 11:00:00,20.3236,
626,26.05.2015 12:00:00,20.4045,3.651
627,26.05.2015 13:00:00,20.4916,
628,26.05.2015 14:00:00,20.5371,
629,26.05.2015 15:00:00,20.5366,
630,26.05.2015 16:00:00,20.512,
631,26.05.2015 17:00:00,20.4876,
632,26.05.2015 18:00:00,20.4832,3.652
633,26.05.2015 19:00:00,20.4954,
634,26.05.2015 20:00:00,20.4974,
